CustomerID,total_spent,avg_spent,purchase_count,CustomerName,Region,SignupDate,Cluster
C0037,4252.77,850.5540000000001,5,Linda Smith,1,2023-02-04,8
C0038,2696.85,539.37,5,Jeffrey Perkins,2,2022-04-16,5
C0039,4239.6,706.6,6,Angela Harris,3,2024-10-13,1
C0040,3969.3999999999996,1323.1333333333332,3,Michael Harrell,0,2022-03-07,7
C0041,6149.78,878.54,7,Lindsey Deleon,1,2023-12-27,0
C0042,2402.49,800.8299999999999,3,Heather Riley,2,2023-03-15,2
C0043,1131.3200000000002,377.10666666666674,3,Sandy Short MD,0,2023-02-05,9
C0044,3230.1099999999997,1076.7033333333331,3,Kenneth Alexander,1,2024-07-10,7
C0045,6021.8,860.2571428571429,7,Michael Williams,0,2022-02-25,0
C0046,5627.83,803.9757142857143,7,Beth Cardenas,2,2024-10-23,4
C0047,2870.54,410.07714285714286,7,Samantha Frank,2,2024-03-22,5
C0048,3850.9399999999996,770.1879999999999,5,Matthew Park,3,2024-11-07,1
C0049,2315.48,289.435,8,Jason Yates,2,2024-09-18,5
C0050,3068.83,1022.9433333333333,3,Ryan Davis,2,2024-03-02,3
C0051,5699.57,814.2242857142857,7,Nicholas Ellis,1,2023-12-21,0
C0052,2488.01,622.0025,4,Stanley Aguirre,3,2024-02-20,2
C0053,5316.46,886.0766666666667,6,Albert Burke,1,2022-06-18,8
C0054,8040.389999999999,1005.0487499999999,8,Bruce Rhodes,0,2024-09-29,0
C0055,2857.6800000000003,571.5360000000001,5,Lauren Williams,2,2024-11-11,5
C0056,3182.94,636.588,5,Erika Fernandez,0,2024-04-12,9
C0057,4536.4,756.0666666666666,6,Elizabeth Nguyen,1,2024-07-27,8
C0058,396.34,396.34,1,Zachary Turner,2,2024-01-28,6
C0059,7073.28,884.16,8,Mrs. Kimberly Wright,2,2024-04-07,4
C0060,82.36,82.36,1,James Murphy,1,2022-04-22,6
C0061,2138.26,712.7533333333334,3,Brandon Escobar,1,2023-03-06,9
C0062,1639.54,546.5133333333333,3,Jeffery Hartman,1,2022-12-14,9
C0063,1378.1699999999998,689.0849999999999,2,Wayne Ferguson,1,2024-02-05,9
C0064,4039.77,807.954,5,Martha Montgomery,1,2023-10-22,8
C0065,7663.7,766.37,10,Gerald Hines,2,2024-07-10,4
C0066,3799.2799999999997,1266.4266666666665,3,Catherine White,1,2024-11-15,7
C0067,4090.84,681.8066666666667,6,Carl Gonzalez,2,2023-07-06,1
C0068,5950.42,743.8025,8,Mark Cox,2,2023-04-04,4
C0069,2878.69,575.738,5,Stacy Foster,1,2023-12-03,5
C0070,3125.49,781.3725,4,Timothy Perez,1,2022-03-15,9
C0071,1400.83,466.9433333333333,3,Taylor Murphy,3,2022-07-01,2
C0072,2999.59,599.918,5,Sarah Scott,2,2024-07-24,5
C0073,2060.54,686.8466666666667,3,Heidi Johnson,1,2022-08-20,9
C0074,3055.2200000000003,1018.4066666666668,3,Jonathan Russo,1,2022-05-27,7
C0075,5848.97,649.8855555555556,9,Misty Higgins,1,2023-05-01,0
C0076,2333.06,466.61199999999997,5,Emily Roberts,3,2024-02-11,1
C0077,837.3,279.09999999999997,3,Scott Sims,3,2023-10-18,6
C0078,995.52,995.52,1,Julia Palmer,0,2024-11-13,7
C0079,4251.5599999999995,1062.8899999999999,4,Brian Murillo,2,2022-02-02,3
C0080,1007.52,1007.52,1,David Gonzalez,0,2024-02-07,7
C0081,3542.48,590.4133333333333,6,Kimberly Turner,1,2024-02-24,5
C0082,7572.91,1081.8442857142857,7,Aimee Taylor,3,2022-05-13,4
C0083,642.8,214.26666666666665,3,Christina Stark,3,2022-04-07,6
C0084,4441.1,493.4555555555556,9,Belinda Garner,0,2024-09-17,0
C0085,2598.33,866.11,3,Richard Brown,3,2024-09-22,2
C0086,2754.68,550.9359999999999,5,Stephanie Peterson,1,2022-09-18,5
C0087,6604.23,943.4614285714285,7,Travis Campbell,3,2024-04-11,4
C0088,2135.38,427.076,5,Carlos Murray,0,2023-05-14,9
C0089,2556.2200000000003,1278.1100000000001,2,Paul Carter,1,2024-04-02,7
C0090,4138.16,591.1657142857142,7,Charles Hamilton,0,2023-10-17,0
C0091,3137.66,522.9433333333333,6,Lisa Kirk,3,2023-03-16,1
C0092,3015.95,753.9875,4,Jacqueline Zamora,0,2024-05-29,9
C0093,5294.99,588.3322222222222,9,Nancy Walker,0,2024-07-13,0
C0094,1166.97,291.7425,4,Emily Trevino,2,2023-09-16,6
C0095,1284.27,642.135,2,William Walker,3,2023-03-04,2
C0096,6072.92,1214.584,5,Benjamin Mcclure,3,2022-11-18,3
C0097,137.54,137.54,1,Tina Ford,0,2023-12-18,6
C0098,3158.02,394.7525,8,Laura Gilbert,2,2024-10-21,5
C0099,6715.72,839.465,8,Rodney Eaton,3,2023-01-29,4
C0100,5003.45,833.9083333333333,6,Clinton Gomez,1,2023-03-16,8
C0101,5550.99,693.87375,8,Kelsey Roberts,0,2023-09-30,0
C0102,6132.360000000001,766.5450000000001,8,Michael Atkinson,3,2022-09-16,4
C0103,2462.5499999999997,492.50999999999993,5,Jennifer Munoz,1,2022-05-15,5
C0104,6579.1,822.3875,8,Laura Bennett,3,2022-02-10,4
C0105,4807.45,801.2416666666667,6,Ryan Hampton,1,2024-11-11,8
C0106,2939.3,587.86,5,Amanda Mcguire,0,2022-09-22,9
C0107,3623.92,724.784,5,Dana Cantrell,3,2023-02-07,1
C0108,4848.54,692.6485714285715,7,David Davis,3,2022-09-28,4
C0109,5487.25,498.84090909090907,11,Abigail Jones,2,2022-05-09,4
C0110,942.32,942.32,1,Elizabeth Wells,0,2024-09-21,7
C0111,1973.02,394.604,5,Roger David,1,2024-11-13,5
C0112,1959.51,653.17,3,Brian Adkins,3,2022-07-07,2
C0113,4812.1,601.5125,8,Joseph Ortiz Jr.,3,2022-06-17,4
C0114,5780.43,1156.086,5,Benjamin Anderson,1,2024-11-18,8
C0115,3137.18,1045.7266666666667,3,Joshua Hamilton,0,2024-11-11,7
C0116,2758.6800000000003,459.78000000000003,6,James Martinez,2,2024-09-11,5
C0117,4028.2700000000004,1007.0675000000001,4,Jeffrey Mcmahon,2,2024-11-22,3
C0118,3434.77,572.4616666666667,6,Jacob Holt,3,2022-01-22,1
C0119,1191.61,238.32199999999997,5,David Armstrong,1,2023-11-13,6
C0120,2470.02,823.34,3,Francisco Diaz,3,2023-01-13,2
C0121,974.52,243.63,4,Mark Atkinson,1,2023-07-23,6
C0122,5072.55,724.65,7,Corey Ruiz,2,2022-05-06,4
C0123,1400.06,700.03,2,Jason Johnston,0,2023-11-05,9
C0124,4264.33,609.1899999999999,7,Lindsay Perez,1,2024-08-26,5
C0125,2973.96,743.49,4,Nicholas Taylor,2,2022-12-18,2
C0126,4565.57,760.9283333333333,6,Caitlin Brown,3,2024-02-20,1
C0127,3232.88,538.8133333333334,6,Kathryn Stevens,1,2024-04-04,5
C0128,773.19,386.595,2,Henry Leach,0,2023-05-29,9
C0129,2339.61,779.87,3,Marcus Livingston,3,2024-04-14,2
C0130,601.36,601.36,1,Robert Jones,3,2023-04-19,2
C0131,1943.82,647.9399999999999,3,Scott Wilson,2,2022-06-05,2
C0132,1851.2599999999998,617.0866666666666,3,Lisa Jackson,1,2023-02-01,9
C0133,2884.33,721.0825,4,Gwendolyn Carter,3,2023-03-11,1
C0134,2679.28,535.856,5,Theresa Gonzalez,0,2022-02-19,9
C0135,3135.58,783.895,4,Toni Weaver,1,2022-08-23,9
C0136,4298.99,716.4983333333333,6,Kristen Holder,0,2024-03-14,8
C0137,3332.55,666.51,5,Robert Gardner,3,2024-04-09,1
C0138,5610.25,1122.05,5,Cynthia Clayton,0,2024-11-01,8
C0139,3703.64,462.955,8,Ricky Gutierrez,2,2022-03-14,5
C0140,1888.1399999999999,944.0699999999999,2,Gregory Estrada,0,2023-07-01,7
C0141,10673.869999999999,1067.387,10,Paul Parsons,1,2023-02-23,0
C0142,2239.04,559.76,4,Nicole Long DVM,0,2024-02-08,9
C0143,6044.63,863.5185714285715,7,Brian Parker,0,2024-05-27,0
C0144,1304.6799999999998,652.3399999999999,2,Andrea Hart,2,2024-09-30,2
C0145,5771.27,721.40875,8,Wayne Stone,0,2023-01-13,0
C0146,2570.8,642.7,4,Brittany Harvey,0,2024-09-04,9
C0147,2948.44,327.6044444444444,9,Hunter Fuller,3,2022-05-16,5
C0148,5457.79,1091.558,5,Matthew Rogers,3,2023-04-16,3
C0149,4404.78,880.9559999999999,5,Tina Wilson,1,2023-01-21,8
C0150,580.34,580.34,1,Angela Williams,3,2022-09-13,2
C0151,223.96,223.96,1,Amber Gonzalez,3,2024-11-22,6
C0152,3385.8599999999997,677.1719999999999,5,Justin Evans,3,2022-04-19,1
C0153,4744.79,790.7983333333333,6,Justin Smith,3,2022-03-20,1
C0154,3703.61,617.2683333333333,6,Robert Sharp,2,2024-10-27,5
C0155,5377.83,768.2614285714286,7,Michelle Brown,3,2023-03-23,4
C0156,7634.45,694.040909090909,11,William Adams,2,2023-08-19,4
C0157,1876.1,375.21999999999997,5,Miguel Wong,2,2024-01-30,5
C0158,3716.52,929.13,4,Wendy Browning,3,2023-04-12,3
C0159,2072.41,690.8033333333333,3,Austin Miller,0,2022-08-06,9
C0160,2926.93,585.386,5,Jodi Cook,2,2022-04-05,5
C0161,3141.83,392.72875,8,Jessica Warren,0,2022-03-14,5
C0162,4802.24,600.28,8,Edwin Watson,0,2022-03-29,0
C0163,5775.28,962.5466666666666,6,Tiffany Cain,3,2023-06-08,4
C0164,3087.69,617.538,5,Morgan Perez,1,2023-06-01,5
C0165,6708.1,745.3444444444444,9,Juan Mcdaniel,3,2022-04-09,4
C0166,2405.3500000000004,601.3375000000001,4,John Rogers,1,2022-02-13,9
C0167,2300.42,766.8066666666667,3,Brandy Welch,1,2024-01-27,9
C0168,5053.83,1263.4575,4,Karen Clements MD,3,2022-12-13,3
C0169,4533.32,755.5533333333333,6,Jennifer Shaw,3,2023-04-13,1
C0170,4931.74,986.348,5,Logan Harris,1,2023-09-13,8
C0171,5145.35,1029.0700000000002,5,Michael Cowan,3,2022-12-16,3
C0172,2201.7,366.95,6,Jamie Webb,1,2024-09-09,5
C0173,5808.04,726.005,8,Francisco Young,0,2022-10-06,0
C0174,2891.95,578.39,5,Tracy Steele,3,2022-11-03,1
C0175,6210.53,621.053,10,Matthew Johnson,0,2022-04-16,0
C0176,2331.32,777.1066666666667,3,Nicole Booth,2,2022-03-23,2
C0177,2509.81,627.4525,4,Julia Kelly,0,2024-06-01,9
C0178,2708.83,677.2075,4,Carol Williams,0,2023-11-19,9
C0179,3652.83,608.805,6,Donald Miller,1,2022-10-16,5
C0181,3347.6000000000004,557.9333333333334,6,Alexander Barker,3,2023-11-16,1
C0182,4980.7699999999995,996.1539999999999,5,Joshua Preston,1,2024-12-28,8
C0183,3850.2200000000003,770.0440000000001,5,Kimberly Johnson,2,2024-01-23,1
C0184,3393.1800000000003,484.74000000000007,7,Tina Jacobs,3,2022-05-13,1
C0185,3424.3199999999997,1141.4399999999998,3,Kathleen Logan,2,2023-10-17,3
C0186,1761.6399999999999,587.2133333333333,3,Amber Alexander,0,2023-10-11,9
C0187,4612.44,922.4879999999999,5,Kayla Kelly,3,2024-08-02,3
C0188,7111.320000000001,888.9150000000001,8,Anna Ball,3,2022-05-17,4
C0189,2643.21,528.642,5,Sherri Dixon,2,2024-01-22,5
C0190,2983.02,596.604,5,Alexander Lowe,3,2024-05-31,1
C0191,2997.9700000000003,599.594,5,Samantha Gibson DVM,3,2024-04-07,1
C0192,2072.7200000000003,518.1800000000001,4,Sarah Arias,3,2022-09-15,2
C0193,3009.2900000000004,752.3225000000001,4,Douglas Torres,0,2023-02-03,9
C0194,3869.17,552.7385714285714,7,Stacy Cook,2,2024-05-04,5
C0195,4036.27,672.7116666666667,6,Jeremy Mclaughlin,3,2024-09-17,1
C0196,4982.88,1245.72,4,Laura Watts,1,2022-06-07,3
C0197,1928.65,642.8833333333333,3,Christina Harvey,1,2023-03-21,9
C0198,931.83,465.915,2,Rebecca Ray,1,2022-02-27,6
C0199,1979.28,494.82,4,Andrea Jenkins,1,2022-12-03,9
C0200,4758.6,951.72,5,Kelly Cross,0,2023-06-11,8
